Dataset,RamanShift,Intensity,Intensity_norm
Glycerol-Phosphate,1075.2,0.425841469,0.007228682115965861
Glycerol-Phosphate,1083.84,0.401857343,0.006821550271595693
Glycerol-Phosphate,1092.48,1.314495837,0.02231363838460147
Glycerol-Phosphate,1101.12,1.526450863,0.0259115864882308
Glycerol-Phosphate,1109.76,0.361478754,0.0061361215254060264
Glycerol-Phosphate,1118.3999999999999,0.220005899,0.003734612111034897
Glycerol-Phosphate,1127.04,0.198957462,0.003377313747237138
Glycerol-Phosphate,1135.68,0.223345014,0.003791293769916863
Glycerol-Phosphate,1144.32,0.301916462,0.005125048376571063
Glycerol-Phosphate,1152.96,0.542824776,0.00921448012000535
Glycerol-Phosphate,1161.6,1.998033487,0.03391672720013515
Glycerol-Phosphate,1170.24,2.489517875,0.04225970143924578
Glycerol-Phosphate,1178.8799999999999,4.792023661,0.08134486248814804
Glycerol-Phosphate,1187.52,3.037822598,0.05156720395786431
Glycerol-Phosphate,1196.1599999999999,3.940514046,0.06689044042357575
Glycerol-Phosphate,1204.8,6.384126498,0.10837089480864148
Glycerol-Phosphate,1213.44,1.617839755,0.027462917904472785
Glycerol-Phosphate,1222.08,1.535801171,0.02607030847549309
Glycerol-Phosphate,1230.72,3.372990705,0.0572567008182864
Glycerol-Phosphate,1239.36,18.40392806,0.3124076805935598
Glycerol-Phosphate,1248.0,18.72294262,0.3178229701143761
Glycerol-Phosphate,1256.6399999999999,3.312780423,0.05623462800392961
Glycerol-Phosphate,1265.28,1.657380777,0.028134128905246435
Glycerol-Phosphate,1273.9199999999998,2.717335687,0.046126921198679005
Glycerol-Phosphate,1282.56,1.421246905,0.024125743574647803
Glycerol-Phosphate,1291.2,0.69655719,0.011824096215722089
Glycerol-Phosphate,1299.84,0.852974487,0.014479288346509193
Glycerol-Phosphate,1308.48,3.217362831,0.054614909185894706
Glycerol-Phosphate,1317.12,2.310567095,0.039222002207975885
Glycerol-Phosphate,1325.76,2.810464309,0.04770778462636914
Glycerol-Phosphate,1334.3999999999999,1.858290229,0.03154457778898562
Glycerol-Phosphate,1343.04,0.743276759,0.012617163442568267
Glycerol-Phosphate,1351.6799999999998,0.850057147,0.014429766341210569
Glycerol-Phosphate,1360.32,2.622614552,0.04451902477612912
Glycerol-Phosphate,1368.96,4.327583551,0.07346096634017985
Glycerol-Phosphate,1377.6,3.288204878,0.05581745678984192
Glycerol-Phosphate,1386.24,8.654333498,0.1469077822070844
Glycerol-Phosphate,1394.8799999999999,6.381406044,0.1083247149539099
Glycerol-Phosphate,1403.52,1.38192941,0.02345832695686632
Glycerol-Phosphate,1412.1599999999999,0.974925091,0.01654940648750695
